"True_Labels","Logistic_Regression","MLP","XGBoost","TabTransformer","TabNet","KAN"
0,0.0135065763341992,0.00174907806608906,0.00018320841,0.0176984,0.00096107373,7.700323e-05
0,0.123127782073237,0.180170048647677,0.005889628,0.05608447,0.27272606,0.0027869535
0,0.00615783744162322,0.00044591137822035,0.006756122,0.022992747,0.007450485,4.64828e-11
0,0.0215200495522701,0.00278909138523432,0.0038043295,0.015032339,7.776499e-06,0.007807204
0,0.0380693260550528,0.00097460695969845,0.014752167,0.017679377,0.00018734511,0.0029669108
0,0.0391533780125805,0.00628618019933078,0.0020953265,0.023818593,0.023930525,0.09912122
0,0.0247478873806606,0.00569836454393318,0.001278336,0.021123348,1.0267566e-06,2.9488792e-05
0,0.0545923371332815,0.00661896635349802,0.0028897473,0.019463127,6.238281e-05,1.8720749e-06
0,0.0735369364096318,0.0869907218312618,0.0018283093,0.037320733,0.0068824277,0.0011396387
0,0.0988821072547401,0.0276033678709519,0.015450656,0.018038485,0.00457976,0.00027284728
0,0.0893862815112658,0.123451006344379,0.033370376,0.014272954,0.00055767165,0.056191456
0,0.453859988560145,0.530568540866083,0.028182272,0.114355564,0.09849951,0.030698482
0,0.176566784094819,0.0441838916285969,0.026714664,0.038116146,0.92442214,0.059353743
0,0.142750834356197,0.059388838258064,0.013810541,0.044331323,0.002086426,0.002519632
0,0.711695341798672,0.570498269444535,0.17804131,0.23454934,0.0076608304,0.09025402
0,0.20650329754656,0.125022842347149,0.007572965,0.029202696,0.0031714297,0.0004091326
0,0.167743255422148,0.033823649151122,0.016183106,0.031104969,0.0015937831,0.007732856
0,0.166733899894898,0.112025320534975,0.06878613,0.052129,0.0054944153,0.002294185
0,0.642331241072835,0.809756070568849,0.1448712,0.7700671,0.4771512,0.73548365
0,0.799252980450342,0.963176160003562,0.5085389,0.97619706,0.9999994,0.999997
0,0.122327116425059,0.0921273536682394,0.0036438813,0.048396934,0.0003816132,0.00741013
0,0.153890113343397,0.011703981165794,0.013022966,0.018117066,0.0023439887,0.0022106364
0,0.0124842111005251,0.00124331968673985,0.0037048494,0.015483522,2.3852374e-08,9.521196e-16
0,0.0888232060081939,0.0217347721186815,0.014264511,0.0351998,0.0018333714,0.023494333
0,0.0737285723639175,0.104937087461541,0.0028362276,0.26566774,0.000932565,0.00020887172
0,0.250917769861549,0.0641894813099588,0.029032214,0.079715624,1.6511385e-07,0.023990769
0,0.0385125770022613,0.00660720091172982,0.0005452031,0.028928999,4.2270617e-07,4.1225216e-05
0,0.199458935589008,0.0356147191746796,0.004952625,0.05732435,0.15845022,0.17149647
0,0.0465555266572938,0.0095136011837043,0.00021158314,0.015279843,0.00012894119,0.0003925261
0,0.317756024317009,0.270751149319334,0.046046596,0.581027,0.5762781,0.9989802
0,0.0379956475859079,0.00324341105655261,0.00056767295,0.022013173,8.565856e-06,0.008390707
0,0.0857940969248321,0.0768446530566364,0.008664211,0.05359969,0.0005662444,0.0040164194
0,0.326733268096835,0.15598287251763,0.06399599,0.1573292,0.007160612,0.08401474
0,0.140493103733415,0.00537360809814766,0.3497469,0.02512418,0.0005187483,0.8028283
0,0.627742629569557,0.811798503546362,0.06297797,0.119524635,0.04673062,0.11950874
0,0.0512928431613504,0.0162585277353099,0.0012434686,0.02914982,0.0006649563,1.2316523e-08
0,0.058484686175026,0.0475873852248397,0.0011627588,0.017907714,1.7118683e-06,1.3327837e-11
0,0.219718108003191,0.0972349723968744,0.035693042,0.06780025,1.0797716e-06,6.817704e-07
0,0.0593197334491631,0.0175286107202744,0.008766267,0.019868024,1.6863349e-07,1.9986658e-08
0,0.123594032177985,0.0578355916681813,0.0012074353,0.045711644,1.0407875e-06,1.5637303e-06
0,0.0830462716444944,0.00728599313127352,0.00079938065,0.016908681,9.506971e-05,5.080695e-07
0,0.0649456263543637,0.00391267803767917,0.0005268694,0.022066096,9.161553e-06,6.2124236e-08
0,0.0568617910134208,0.0194754648563434,0.0024846084,0.013236541,5.109127e-06,1.975486e-08
0,0.079090129171747,0.0308872687671542,0.00179312,0.017307773,0.00076334906,0.00014146787
0,0.0994835760613444,0.134313421884562,0.033761084,0.042913508,0.0047398573,0.0042217495
0,0.0971387007144241,0.00466955430648866,0.0063833315,0.023516472,0.0021828036,0.0001249759
0,0.132650908093957,0.0260386455243314,0.017735451,0.02568475,0.00083676894,0.0036795
0,0.178337053867573,0.0435585055314544,0.024800932,0.028031532,0.013729906,0.0021185342
0,0.082853754298026,0.00137177657295766,0.0311843,0.01816283,0.00018747771,0.028958533
