True_Labels,LR_no_PVC,XGBoost_no_PVC,KAN_no_PVC
0,0.13476127285828263,0.033962242,0.010603915
0,0.033896797896593396,0.0018986063,0.0010070984
0,0.14338412787732174,0.0068839374,0.0020787208
0,0.40403731002802273,0.098138414,0.23081973
0,0.3634537527304213,0.43344685,0.6146379
0,0.2057109487378508,0.009320486,0.00872354
0,0.5536822462137704,0.56477284,0.35427696
0,0.08030346686875141,0.0004690798,2.9039907e-07
0,0.11195671254835549,0.003050099,3.257915e-07
0,0.1515261580526796,0.008556138,0.00019212307
0,0.1800225533645036,0.0019486841,0.00085159723
0,0.08659827339975751,0.0013150739,0.064350195
0,0.2872284365785248,0.09110865,0.32051036
0,0.1828403386564306,0.018803574,0.14972857
0,0.22174249547258296,0.36645138,0.6288977
0,0.23819632378538902,0.38276562,0.19853428
0,0.27588095073630414,0.029607276,0.25074306
0,0.4941636754334064,0.027689822,0.21221863
0,0.35499804592163653,0.02469712,0.23554997
0,0.48523778164409376,0.28170145,0.36865902
0,0.14928948759530422,0.014823938,0.14888456
0,0.4172563299899499,0.4512743,0.43418306
0,0.05338313686155585,0.012569073,0.09680691
0,0.3417303688943672,0.0632899,0.27462736
0,0.26364396062807016,0.019298801,0.33403435
0,0.026438176828325267,0.022832884,0.11476143
0,0.1488710025728633,0.008990398,0.06046478
1,0.9818801066189686,0.9860405,1.0
1,0.9939122055391253,0.9616204,0.9999994
1,0.9301433545108649,0.99365544,1.0
1,0.9819042536583238,0.99832016,1.0
1,0.745776119485796,0.9769323,0.9962166
1,0.7287705957593419,0.9928843,0.97971374
1,0.9807861335282633,0.9999491,1.0
1,0.5005929967634943,0.87797743,0.82653385
1,0.8917507730311901,0.99933654,0.99999964
1,0.9009372412667837,0.99706995,1.0
1,0.2521160825185298,0.9694633,0.59426445
1,0.3329898402012549,0.90622455,0.82457536
1,0.6160464402577625,0.48225036,0.4472403
1,0.5795184492123384,0.996145,1.0
1,0.7710700317846791,0.8486987,1.0
1,0.1162767042344838,0.42568105,0.10575219
1,0.16989348396321477,0.13440293,0.088654175
1,0.4896503486707177,0.9826204,0.9999981
1,0.15132949883478586,0.76953423,0.3774497
1,0.1006203639202796,0.42181414,0.27060932
1,0.1593598286646252,0.42114297,0.5394248
1,0.19916951656217563,0.83449996,0.8005294
1,0.11275734864515989,0.22460392,0.23716374
1,0.39235568193665926,0.77069145,0.9101713
1,0.30510239432261815,0.9957884,0.9994242
1,0.9892233016109798,0.9580666,1.0
1,0.9978773000191857,0.9997491,1.0
1,0.9347829843684521,0.9879475,0.9999999
1,0.9760646447926977,0.9983405,1.0
1,0.7581892236845104,0.93984425,0.9996486
1,0.8444853975935659,0.97920597,0.9999285
1,0.9294760681012975,0.99969876,1.0
1,0.9178401228076526,0.99339986,1.0
1,0.06541463083677859,0.84793067,0.70185256
1,0.10001371606897753,0.6568006,0.28978363
1,0.13037328075928428,0.52324796,0.21669461
1,0.9970753104196501,0.9931753,1.0
1,0.9970492123822771,0.99770325,1.0
1,0.9699729210815922,0.98333126,0.9999833
1,0.9837537949283401,0.9997024,1.0
1,0.9977744444359852,0.9987908,1.0
1,0.8068300493359082,0.9882819,0.99944574
1,0.8868367958257468,0.99614304,0.98349655
1,0.09203503583057661,0.79348546,0.5007034
1,0.31964708470606895,0.9096604,0.6957786
1,0.5487068626602369,0.93587136,0.97183865
1,0.9805386360877809,0.994959,1.0
1,0.7564787001398278,0.99357295,0.975319
1,0.6459338112667915,0.9498928,0.9665267
1,0.262890530332432,0.83942777,0.73068506
1,0.5990728969117742,0.9564822,0.9996457
1,0.14094220467592383,0.1914555,0.33383814
1,0.20691440991722873,0.20319897,0.20527709
1,0.20573631488861538,0.7382198,0.38196447
1,0.15219484013492113,0.017940046,0.061629523
1,0.5607323135088209,0.9988054,0.99999714
1,0.8569815531461703,0.99119675,1.0
1,0.9978862515853129,0.93510455,1.0
1,0.9973622283452457,0.99848723,1.0
1,0.9864418793286902,0.98984563,0.99999905
1,0.843712362876494,0.95955133,0.9999901
1,0.9964027134159612,0.9996668,1.0
1,0.644455713148319,0.9928236,0.9900035
1,0.9216624974595871,0.999782,0.9999994
1,0.7373796764049206,0.9965334,0.99996936
1,0.9399220038038814,0.9970758,1.0
1,0.9715063943067207,0.99925977,1.0
1,0.6836160145107106,0.9983108,1.0
1,0.3963052952499164,0.8796242,0.50567365
1,0.23131477490535293,0.94298977,0.3452923
1,0.2937115163273029,0.027989997,0.17332503
1,0.7685834595492319,0.99705255,1.0
1,0.15014162243057702,0.3595976,0.3129521
1,0.3315671616410428,0.9769886,0.7926125
1,0.9964854691785419,0.99276525,1.0
1,0.9950566367414294,0.99020374,1.0
1,0.9963378394634715,0.9992654,1.0
1,0.9812177479153382,0.9997893,1.0
1,0.5822893681323668,0.9603536,0.9754952
1,0.5297218558991017,0.96815944,0.9909151
1,0.9421551003853597,0.99845123,1.0
1,0.4817403550602608,0.81552124,0.95451826
1,0.7638129903113043,0.9399364,0.8904962
1,0.9524033463221137,0.99258983,1.0
1,0.7735942029659193,0.9994122,0.99999607
1,0.5607948596841027,0.74076146,0.38809666
1,0.5381561696925615,0.96808606,0.99912363
1,0.9165602482190741,0.98948485,1.0
1,0.9135372457771187,0.9995672,1.0
1,0.12668873908080017,0.75488174,0.27317262
